iter	Passed	Remaining
406	5144	7495
407	5150	7472
408	5156	7450
409	5164	7431
410	5169	7408
411	5188	7404
412	5200	7392
413	5211	7376
414	5219	7357
415	5230	7342
416	5237	7322
417	5246	7304
418	5254	7285
419	5262	7267
420	5273	7252
421	5281	7233
422	5290	7217
423	5300	7201
424	5310	7184
425	5317	7164
426	5326	7148
427	5334	7128
428	5344	7113
429	5351	7094
430	5368	7088
431	5381	7075
432	5394	7064
433	5407	7052
434	5416	7035
435	5427	7021
436	5439	7007
437	5457	7002
438	5469	6989
439	5478	6972
440	5488	6957
441	5498	6942
442	5511	6929
443	5527	6921
444	5538	6907
445	5548	6892
446	5559	6877
447	5570	6863
448	5579	6846
449	5590	6832
450	5600	6817
451	5609	6800
452	5622	6789
453	5630	6771
454	5638	6753
455	5649	6740
456	5658	6722
457	5671	6711
458	5684	6700
459	5693	6683
460	5702	6667
461	5710	6650
462	5720	6635
463	5730	6620
464	5738	6602
465	5747	6586
466	5755	6569
467	5765	6553
468	5787	6552
469	5813	6555
470	5821	6538
471	5835	6527
472	5845	6512
473	5852	6494
474	5867	6485
475	5878	6471
476	5888	6456
477	5900	6444
478	5913	6432
479	5923	6416
480	5934	6403
481	5945	6389
482	5954	6373
483	5963	6358
484	5972	6341
485	5980	6325
486	5991	6311
487	5999	6294
488	6015	6286
489	6029	6276
490	6043	6264
491	6056	6253
492	6064	6237
493	6077	6225
494	6089	6212
495	6101	6199
496	6112	6186
497	6122	6171
498	6129	6154
499	6140	6140
500	6158	6133
501	6170	6121
502	6178	6104
503	6189	6091
504	6204	6081
505	6215	6068
506	6225	6053
507	6237	6041
508	6251	6030
509	6263	6017
510	6274	6004
511	6286	5991
512	6296	5977
513	6306	5963
514	6318	5950
515	6327	5934
516	6338	5921
517	6346	5905
518	6359	5894
519	6370	5880
520	6382	5867
521	6400	5860
522	6413	5849
523	6449	5858
524	6467	5851
525	6480	5839
526	6490	5825
527	6500	5811
528	6511	5797
529	6521	5783
530	6533	5770
531	6553	5764
532	6566	5753
533	6585	5746
534	6598	5735
535	6613	5724
536	6622	5709
537	6634	5697
538	6647	5685
539	6658	5671
540	6669	5658
541	6680	5645
542	6692	5632
543	6700	5616
544	6713	5605
545	6726	5592
546	6735	5578
547	6749	5566
548	6766	5558
549	6776	5544
550	6795	5537
551	6808	5525
552	6818	5511
553	6833	5501
554	6846	5489
555	6857	5475
556	6864	5459
557	6875	5445
558	6882	5429
559	6891	5415
560	6898	5397
561	6913	5388
562	6923	5373
563	6929	5357
564	6939	5343
565	6948	5327
566	6957	5313
567	6965	5297
568	6976	5284
569	6990	5273
570	7001	5260
571	7011	5246
572	7021	5232
573	7032	5219
574	7041	5204
575	7050	5189
576	7057	5173
577	7064	5158
578	7072	5142
579	7084	5130
580	7092	5114
581	7103	5101
582	7110	5085
583	7120	5072
584	7127	5056
585	7136	5041
586	7142	5025
587	7150	5010
588	7157	4994
589	7165	4979
590	7172	4963
591	7181	4949
592	7188	4934
593	7197	4919
594	7203	4903
595	7212	4888
596	7218	4872
597	7233	4862
598	7249	4852
599	7262	4841
600	7273	4828
601	7286	4817
602	7297	4804
603	7307	4790
604	7318	4778
605	7330	4766
606	7337	4750
607	7350	4739
608	7363	4727
609	7376	4715
610	7395	4708
611	7411	4698
612	7422	4685
613	7432	4672
614	7443	4659
615	7450	4644
616	7462	4632
617	7470	4617
618	7481	4604
619	7493	4592
620	7503	4579
621	7513	4565
622	7525	4553
623	7533	4539
624	7551	4531
625	7564	4519
626	7575	4506
627	7584	4492
628	7594	4479
629	7606	4467
630	7616	4453
631	7626	4440
632	7636	4427
633	7645	4413
634	7658	4402
635	7670	4390
636	7691	4383
637	7704	4371
638	7716	4359
639	7727	4346
640	7739	4334
641	7751	4322
642	7761	4309
643	7774	4297
644	7787	4286
645	7796	4272
646	7808	4260
647	7817	4246
648	7826	4232
649	7835	4219
650	7845	4205
651	7853	4191
652	7861	4177
653	7873	4165
654	7880	4150
655	7892	4138
656	7901	4125
657	7907	4110
658	7923	4100
659	7935	4087
660	7942	4073
661	7951	4059
662	7958	4045
663	7967	4031
664	7972	4016
665	7980	4002
666	7987	3987
667	7993	3972
668	8000	3958
669	8005	3942
670	8013	3928
671	8018	3913
672	8024	3898
673	8031	3884
674	8037	3870
675	8045	3855
676	8049	3840
677	8055	3825
678	8062	3811
679	8069	3797
680	8080	3785
681	8087	3771
682	8097	3758
683	8104	3744
684	8113	3731
685	8121	3717
686	8133	3705
687	8142	3692
688	8148	3677
689	8153	3663
690	8160	3649
691	8166	3634
692	8173	3620
693	8180	3606
694	8186	3592
695	8194	3579
696	8199	3564
697	8209	3551
698	8215	3537
699	8226	3525
700	8235	3512
701	8244	3499
702	8251	3486
703	8259	3472
704	8274	3462
705	8282	3448
706	8293	3436
707	8301	3423
708	8310	3410
709	8317	3397
710	8328	3385
711	8338	3372
712	8350	3361
713	8360	3348
714	8371	3336
715	8378	3323
716	8391	3311
717	8404	3300
718	8422	3291
719	8432	3279
720	8447	3268
721	8456	3255
722	8467	3244
723	8474	3230
724	8483	3217
725	8490	3204
726	8500	3191
727	8509	3179
728	8520	3167
729	8529	3154
730	8541	3143
731	8552	3131
732	8562	3118
733	8571	3106
734	8580	3093
735	8588	3080
736	8598	3068
737	8605	3054
738	8614	3042
739	8621	3029
740	8630	3016
741	8637	3003
742	8647	2991
743	8656	2978
744	8686	2973
745	8718	2968
746	8747	2962
747	8780	2958
748	8800	2949
749	8817	2939
750	8824	2925
751	8834	2913
752	8846	2901
753	8853	2888
754	8862	2876
755	8870	2862
756	8881	2850
757	8889	2838
758	8899	2825
759	8909	2813
760	8915	2799
761	8921	2786
762	8928	2773
763	8934	2759
764	8947	2748
765	8954	2735
766	8966	2723
767	8975	2711
768	8984	2698
769	8994	2686
770	9002	2673
771	9011	2661
772	9019	2648
773	9028	2636
774	9035	2623
775	9043	2610
776	9050	2597
777	9058	2584
778	9065	2571
779	9073	2559
780	9081	2546
781	9089	2533
782	9095	2520
783	9102	2507
784	9110	2495
785	9116	2482
786	9125	2469
787	9130	2456
788	9140	2444
789	9151	2432
790	9159	2420
791	9172	2408
792	9181	2396
793	9195	2385
794	9207	2374
795	9217	2362
796	9226	2350
797	9237	2338
798	9246	2326
799	9255	2313
800	9264	2301
801	9273	2289
802	9282	2277
803	9293	2265
804	9304	2253
805	9311	2241
806	9321	2229
807	9328	2216
808	9339	2204
809	9350	2193
810	9357	2180
811	9367	2168
812	9378	2157
813	9420	2152
814	9433	2141
815	9447	2130
816	9459	2118
817	9469	2106
818	9479	2094
819	9489	2082
820	9499	2071
821	9509	2059
822	9518	2047
823	9533	2036
824	9545	2024
825	9556	2013
826	9574	2002
827	9583	1990
828	9600	1980
829	9609	1968
830	9623	1957
831	9630	1944
832	9641	1932
833	9650	1920
834	9660	1909
835	9673	1897
836	9686	1886
837	9696	1874
838	9711	1863
839	9724	1852
840	9735	1840
841	9742	1828
842	9752	1816
843	9768	1805
844	9776	1793
845	9787	1781
846	9794	1769
847	9804	1757
848	9811	1744
849	9818	1732
850	9825	1720
851	9833	1708
