iter	RMSE
0	37.79702262
1	37.06673344
2	36.15880596
3	35.52228941
4	34.75262841
5	34.19041937
6	33.62609289
7	32.96895253
8	32.40994513
9	31.9411749
10	31.39422425
11	30.91078809
12	30.43892394
13	30.06200535
14	29.65042595
15	29.3308076
16	29.06473218
17	28.69522333
18	28.44723594
19	28.20694546
20	27.9410211
21	27.64010225
22	27.34897374
23	27.09775596
24	26.87133651
25	26.69691026
26	26.52450209
27	26.31177831
28	26.13858802
29	26.01337264
30	25.8470617
31	25.67289609
32	25.54809467
33	25.39904822
34	25.26323006
35	25.1327021
36	24.98405666
37	24.87689853
38	24.77988129
39	24.62024178
40	24.51482351
41	24.40470196
42	24.30032017
43	24.28655641
44	24.17491582
45	24.11129192
46	24.0543431
47	24.04036356
48	23.97386194
49	23.8962373
50	23.82724542
51	23.79800419
52	23.71338454
53	23.64602433
54	23.61465338
55	23.55840839
56	23.4903176
57	23.45398176
58	23.36529529
59	23.27454149
60	23.23178933
61	23.1809825
62	23.13221193
63	23.08930219
64	23.02698969
65	22.97657555
66	22.93950113
67	22.91116375
68	22.88814758
69	22.85349222
70	22.8445781
71	22.82951147
72	22.81985363
73	22.8081467
74	22.79874723
75	22.77045811
76	22.76242631
77	22.72062502
78	22.67156677
79	22.63604236
80	22.56840465
81	22.5166357
82	22.47765773
83	22.40968037
84	22.39236366
85	22.36868699
86	22.3260698
87	22.28887481
88	22.2365049
89	22.19032122
90	22.18295485
91	22.17800708
92	22.13490969
93	22.06775226
94	22.03237269
95	21.99888262
96	21.95220973
97	21.93961728
98	21.92775265
99	21.91573067
100	21.91046344
101	21.87896257
102	21.83833762
103	21.83386624
104	21.80785369
105	21.78613045
106	21.75575103
107	21.73061604
108	21.71179132
109	21.666285
110	21.62396256
111	21.57762265
112	21.55551834
113	21.51815503
114	21.47293186
115	21.43391313
116	21.41640202
117	21.39691469
118	21.35994008
119	21.33065599
120	21.31499181
121	21.29504792
122	21.2890504
123	21.28490494
124	21.26186799
125	21.240048
126	21.2135054
127	21.1914519
128	21.14764583
129	21.11951858
130	21.09010643
131	21.05911281
132	21.05036278
133	21.03565579
134	21.02013984
135	20.98395189
136	20.94674829
137	20.91511143
138	20.90671118
139	20.88556865
140	20.85387124
141	20.82901934
142	20.81295039
143	20.77853239
144	20.75562715
145	20.7170755
146	20.68735123
147	20.65465342
148	20.63219395
149	20.60971522
150	20.60739757
151	20.57254461
152	20.55302074
153	20.5498596
154	20.52941774
155	20.51111524
156	20.47105404
157	20.43948278
158	20.41055085
159	20.39001356
160	20.35947223
161	20.34257333
162	20.32627923
163	20.30756538
164	20.28406831
165	20.262475
166	20.24879853
167	20.21885436
168	20.18094003
169	20.14588472
170	20.13760993
171	20.11079396
172	20.08758182
173	20.0711541
174	20.05919059
175	20.02707963
176	20.00519356
177	19.97637354
178	19.95479671
179	19.9227206
180	19.88702397
181	19.86493288
182	19.8608385
183	19.83978789
184	19.81116751
185	19.77647443
186	19.77424614
187	19.74869148
188	19.74436539
189	19.72764493
190	19.71819727
191	19.70170521
192	19.68879624
193	19.67015352
194	19.64138705
195	19.6129329
196	19.5866368
197	19.58376983
198	19.57903975
199	19.54546811
200	19.51995511
201	19.50810223
202	19.49026195
203	19.46465901
204	19.44670152
205	19.43532321
206	19.41492877
207	19.40192781
208	19.37308969
209	19.34645227
210	19.3436141
211	19.32065155
212	19.31789829
213	19.30453216
214	19.26704235
215	19.25532749
216	19.25326039
217	19.24057348
218	19.21027921
219	19.18478739
220	19.16761059
221	19.14666583
222	19.11718319
223	19.09380498
224	19.0804546
225	19.05088661
226	19.03052138
227	19.00791779
228	18.98846506
229	18.96574569
230	18.94387014
231	18.93944278
232	18.92029998
233	18.90557325
234	18.88274151
235	18.85708544
236	18.84147427
237	18.81329418
238	18.78522908
239	18.76932107
240	18.74784285
241	18.71695586
242	18.68995844
243	18.6709222
244	18.65156141
245	18.650104
246	18.62639049
247	18.5983136
248	18.58864745
249	18.56649766
250	18.54293793
251	18.51765959
252	18.50212736
253	18.47501992
254	18.44958128
255	18.44796365
256	18.42809109
257	18.40181842
258	18.38386919
259	18.35920313
260	18.33518581
261	18.30689507
262	18.2958301
263	18.29427032
264	18.26910474
265	18.24671603
266	18.23297362
267	18.22002289
268	18.19630311
269	18.1776779
270	18.15494054
271	18.12703245
272	18.10297771
273	18.08895662
274	18.06244382
275	18.04475278
276	18.04332375
277	18.02548607
278	18.00435209
279	17.98859022
280	17.9623625
281	17.9465506
282	17.92306565
283	17.92184821
284	17.90283174
285	17.8833106
286	17.86556617
287	17.8468164
288	17.82389793
289	17.82273842
290	17.81159266
291	17.78666006
292	17.76337184
293	17.74688054
294	17.73152894
295	17.7154777
296	17.69521323
297	17.68230897
298	17.66043456
299	17.63990425
300	17.62603071
301	17.60828687
302	17.60705491
303	17.58213165
304	17.57090297
305	17.54965904
306	17.53358116
307	17.51682635
308	17.49653064
309	17.48231799
310	17.46689714
311	17.44593527
312	17.42092114
313	17.40233098
314	17.38579325
315	17.38442047
316	17.36321306
317	17.35041098
318	17.33635054
319	17.3180341
320	17.29268994
321	17.2748496
322	17.25848018
323	17.24388062
324	17.22241691
325	17.20811302
326	17.19861099
327	17.18034162
328	17.15907046
329	17.14720794
330	17.13345678
331	17.11492656
332	17.10736451
333	17.08631645
334	17.06910175
335	17.05166036
336	17.03235236
337	17.0206234
338	17.00338049
339	17.00256951
340	16.9850584
341	16.96353848
342	16.95312732
343	16.95234054
344	16.94007065
345	16.92692895
346	16.90779032
347	16.88237993
348	16.8705155
349	16.85323548
350	16.82781527
351	16.82701574
352	16.80364575
353	16.79015487
354	16.76954861
355	16.7573377
356	16.73796198
357	16.72716143
358	16.71328011
359	16.71200018
360	16.69023465
361	16.67620634
362	16.65856528
363	16.6578215
364	16.63282891
365	16.61071311
366	16.59490583
367	16.57728346
368	16.55825725
369	16.53793526
370	16.52365489
371	16.50278163
372	16.49388602
373	16.47315088
374	16.46220254
375	16.44775002
376	16.43500343
377	16.42458927
378	16.40697281
379	16.38478338
380	16.37402778
381	16.35776747
382	16.34515678
383	16.32715688
384	16.31503542
385	16.29962845
386	16.28336276
387	16.27169792
388	16.25763319
389	16.24536691
390	16.23256024
391	16.20900566
392	16.1957647
393	16.1700592
394	16.15951844
395	16.1434249
396	16.13100693
397	16.11408836
398	16.09676101
399	16.08264926
400	16.06801958
401	16.0607844
402	16.04435581
403	16.03016146
404	16.0209488
405	16.00916456
406	15.99833418
407	15.97984921
408	15.96456476
409	15.95653245
410	15.94361183
411	15.92583667
412	15.91077718
413	15.90977623
414	15.89710449
415	15.88392078
416	15.87607135
417	15.85785455
418	15.85185888
419	15.84121864
420	15.8288653
421	15.81042212
422	15.80065853
423	15.78542589
424	15.77154893
425	15.76204006
426	15.74758251
427	15.7252779
428	15.71053718
429	15.69820377
430	15.68561645
431	15.67610025
432	15.65612202
433	15.63988293
434	15.62777924
435	15.61478093
436	15.60291637
437	15.60175285
438	15.59293223
439	15.58241271
440	15.58175222
441	15.56304981
442	15.55235633
443	15.54064984
444	15.53958826
445	15.51408375
446	15.4964407
447	15.4818582
448	15.47516085
449	15.46925154
450	15.45959237
451	15.45430648
452	15.43820868
453	15.43546843
454	15.42260584
455	15.40714444
456	15.39678164
457	15.37971906
458	15.36858642
459	15.35921029
460	15.34106567
461	15.32992932
462	15.32020141
463	15.30968579
464	15.29691186
465	15.2824154
466	15.26465713
467	15.25205089
468	15.236533
469	15.22238032
470	15.20639903
471	15.19643787
472	15.1815453
473	15.17547663
474	15.16919196
475	15.15542606
476	15.13717325
477	15.12610078
478	15.11742347
479	15.10250515
480	15.09139028
481	15.07153843
482	15.057003
483	15.04618326
484	15.04479767
485	15.03483112
486	15.02198048
487	15.01141744
488	14.99882354
489	14.98833567
490	14.97310522
491	14.96450544
492	14.95230469
493	14.94325985
494	14.93169907
495	14.9116772
496	14.90068299
497	14.88955151
498	14.87853404
499	14.86650332
500	14.8504655
501	14.84488919
502	14.84400696
503	14.83326363
504	14.81381042
505	14.80427584
506	14.79159389
507	14.78141644
508	14.76837335
509	14.75143287
510	14.73256385
511	14.71823473
512	14.70471068
513	14.70390124
514	14.68602554
515	14.66941309
516	14.66176312
517	14.65009677
518	14.64034551
519	14.62483998
520	14.60788999
521	14.59826413
522	14.59613425
523	14.58538475
524	14.56753278
525	14.56646777
526	14.54779009
527	14.53824272
528	14.52735294
529	14.51701578
530	14.50857334
531	14.49948799
532	14.4885615
533	14.4786886
534	14.46706988
535	14.45597415
536	14.44518389
537	14.43175913
538	14.41844513
539	14.41397418
540	14.40891896
541	14.39607198
542	14.37908671
543	14.37046831
544	14.36213989
545	14.34719753
546	14.33779394
547	14.32599423
548	14.32355625
549	14.31658466
550	14.31081232
551	14.2927988
552	14.27766608
553	14.26310999
554	14.25917366
555	14.25121399
556	14.2429853
557	14.23021468
558	14.21569621
559	14.20538841
560	14.20192028
561	14.18827131
562	14.17837894
563	14.16833818
564	14.15514688
565	14.14267727
566	14.13625405
567	14.12351548
568	14.11286881
569	14.09794776
570	14.08767446
571	14.07187939
572	14.05765486
573	14.05099236
574	14.03615445
575	14.02807741
576	14.0180045
577	14.0162241
578	14.01033005
579	13.99745201
580	13.98924457
581	13.97907061
582	13.96797016
583	13.95758631
584	13.94287852
585	13.93587245
586	13.92622349
587	13.91636632
588	13.9052651
589	13.8946038
590	13.88066991
591	13.86354323
592	13.85574288
593	13.84636812
594	13.83973621
595	13.8337713
596	13.82973992
597	13.81780281
598	13.80873287
599	13.79893931
600	13.79186102
601	13.77580638
602	13.76939109
603	13.75483309
604	13.74742665
605	13.73504153
606	13.73153389
607	13.72313569
608	13.71398057
609	13.71108482
610	13.70290976
611	13.69538548
612	13.68574256
613	13.67750556
614	13.67126235
615	13.66308417
616	13.66132091
617	13.65447693
618	13.65111165
619	13.64406258
620	13.63661227
621	13.6236741
622	13.61322603
623	13.59728806
624	13.59249016
625	13.5824379
626	13.5726099
627	13.57210659
628	13.56746193
629	13.55186217
630	13.54069243
631	13.52795296
632	13.51604495
633	13.50695709
634	13.49803452
635	13.48744284
636	13.48414756
637	13.47515643
638	13.4659399
639	13.46444381
640	13.4566908
641	13.44651257
642	13.43713543
643	13.42344594
644	13.41076902
645	13.39910317
646	13.39049705
647	13.38483242
648	13.37015297
649	13.35894227
650	13.34603918
651	13.33495681
652	13.33334393
653	13.32119996
654	13.32071181
655	13.32023603
656	13.31977231
657	13.30925785
658	13.29784878
659	13.28955865
660	13.28910486
661	13.2778123
662	13.2662433
663	13.2543514
664	13.24819621
665	13.24353164
666	13.23695346
667	13.22526474
668	13.21186544
669	13.20647153
670	13.19358069
671	13.18050329
672	13.17253351
673	13.16573499
674	13.15589388
675	13.14356837
676	13.13755757
677	13.13081567
678	13.12212815
679	13.11691346
680	13.10646872
681	13.09545654
682	13.0827518
683	13.07487664
684	13.06349999
685	13.05393942
686	13.04326461
687	13.03592074
688	13.02579734
689	13.02535166
690	13.01765863
691	13.01032688
692	12.999948
693	12.99046435
694	12.98443621
695	12.97603917
696	12.97385996
697	12.96443209
698	12.95331208
699	12.9492938
700	12.93946079
701	12.92690194
702	12.91605055
703	12.90441971
704	12.89233264
705	12.88790169
706	12.87956045
707	12.86716015
708	12.85754891
709	12.845876
710	12.83236633
711	12.82467035
712	12.81683154
713	12.8025171
714	12.79046366
715	12.78184141
716	12.76961145
717	12.76029513
718	12.75392712
719	12.73997521
720	12.73318223
721	12.72402023
722	12.71477644
723	12.70195638
724	12.69606924
725	12.68968431
726	12.67761251
727	12.67090982
728	12.66109949
729	12.651682
730	12.6442702
731	12.63331834
732	12.62396885
733	12.6147459
734	12.60419903
735	12.59837832
736	12.58890258
737	12.58164332
738	12.58124469
739	12.57163854
740	12.56218041
741	12.55163529
742	12.5434516
743	12.5358481
744	12.52821979
745	12.51758969
746	12.51048883
747	12.49822784
748	12.49175426
749	12.48119794
750	12.47365511
751	12.46507737
752	12.46297624
753	12.4514656
754	12.44228126
755	12.43716638
756	12.42910189
757	12.42126914
758	12.41734891
759	12.41077487
760	12.40111065
761	12.39678326
762	12.39520642
763	12.38950815
764	12.37916032
765	12.37040758
766	12.36109762
767	12.35068728
768	12.34842404
769	12.34007055
770	12.33025315
771	12.31493742
772	12.31319947
773	12.31281674
774	12.30508886
775	12.29437198
776	12.28293494
777	12.27373728
778	12.26542667
779	12.25666997
780	12.24528644
781	12.23763955
782	12.22739562
783	12.21741805
784	12.2151804
785	12.20498037
786	12.19848956
787	12.19577896
788	12.18809926
789	12.1765807
790	12.17088331
791	12.15673995
792	12.15634811
793	12.15075745
794	12.14229714
795	12.13720065
796	12.12800955
797	12.12025409
798	12.1136367
799	12.10687051
800	12.09897694
801	12.0918347
802	12.08141318
803	12.07213252
804	12.06200371
805	12.05480129
806	12.05375876
807	12.0456821
808	12.03954804
809	12.03109652
810	12.02405473
811	12.01294001
812	12.00562108
813	11.99436245
814	11.98267238
815	11.97498711
816	11.9731207
817	11.96431664
818	11.95417991
819	11.94428652
820	11.93607223
821	11.93053621
822	11.92652715
823	11.91696783
824	11.90915235
825	11.90175682
826	11.89630457
827	11.89346959
828	11.88428956
829	11.87368151
830	11.86572228
831	11.86534632
832	11.85719242
833	11.84808205
834	11.83663352
835	11.83566667
836	11.83003664
837	11.82203546
838	11.82088852
839	11.81429062
840	11.810415
841	11.80440597
842	11.79759677
843	11.79046789
844	11.78374334
845	11.77855624
846	11.76146156
847	11.75365105
848	11.74822176
849	11.74250988
850	11.73262191
851	11.72563352
852	11.71946205
853	11.71325487
854	11.70745189
855	11.69713677
856	11.69199064
857	11.68896956
858	11.68082126
859	11.67076605
860	11.66180746
861	11.65560498
862	11.6520491
863	11.64969343
864	11.64348517
865	11.63800445
866	11.63249412
867	11.62489109
868	11.61862392
869	11.60763389
870	11.60028849
871	11.59518523
872	11.58760778
873	11.57848379
874	11.56974182
875	11.56253014
876	11.56216464
877	11.55358371
878	11.54454134
879	11.53776843
880	11.53097536
881	11.52458119
882	11.52422556
883	11.51934979
884	11.51025419
